First Launched,Last Used,Location ID,Location Name,Neighbourhood,City,Region,Latitude,Longitude,,Notes:
,,9,Lily,Grandview-Woodland,Vancouver,Lower Mainland,49.274157,-123.064611,,
,,35,E 19th & Main,Riley Park,Vancouver,Lower Mainland,49.253975,-123.099084,,
,,26,W 13th & Columbia,Mount Pleasant,Vancouver,Lower Mainland,49.259402,-123.109749,,
,,34,Laurel,Fairview,Vancouver,Lower Mainland,49.258486,-123.124292,,
,,20,Victoria Park,Grandview-Woodland,Vancouver,Lower Mainland,49.271698,-123.06768,,
,,39,Drake,West End,Vancouver,Lower Mainland,49.278774,-123.132083,,
,,13,City Hall Surface Lot (10th Ave),Mount Pleasant,Vancouver,Lower Mainland,49.262421,-123.113995,,
,,30,Highbury,West Point Grey,Vancouver,Lower Mainland,49.265594,-123.187614,,
,5/24/11 18:00,41,Trutch & W 10th,Kitsilano,Vancouver,Lower Mainland,49.263103,-123.175878,,
,11/27/11 7:00,48,Quebec & E 7th,Mount Pleasant,Vancouver,Lower Mainland,49.264946,-123.10276,,
,,33,E 6th & Commercial,Grandview-Woodland,Vancouver,Lower Mainland,49.265175,-123.06761,,
,,42,Lyncroft,West End,Vancouver,Lower Mainland,49.286346,-123.13261,,
,9/28/12 10:30,12,IGA,Mount Pleasant,Vancouver,Lower Mainland,49.259271,-123.101247,,
,,29,Stadium SkyTrain,Downtown Vancouver,Vancouver,Lower Mainland,49.28001,-123.111133,,
,,37,Latin Supermarket,Kensington-Cedar Cottage,Vancouver,Lower Mainland,49.258614,-123.072119,,
,4/10/14 11:00,1,Beach,West End,Vancouver,Lower Mainland,49.277329,-123.134412,,
,,3,W 2nd & Cypress,Kitsilano,Vancouver,Lower Mainland,49.269861,-123.148762,,
,,5,Kits House,Kitsilano,Vancouver,Lower Mainland,49.265836,-123.157547,,
,,8,Yaletown/Roundhouse Station,Yaletown,Vancouver,Lower Mainland,49.274488,-123.121801,,
,,17,Westwind,Fairview,Vancouver,Lower Mainland,49.261319,-123.139565,,
,5/1/09 5:00,19,King Charles Court,West End,Vancouver,Lower Mainland,49.289909,-123.134054,,
,,15,E 10th & Commercial,Kensington-Cedar Cottage,Vancouver,Lower Mainland,49.261497,-123.070517,,
,,45,Logan Villa,West End,Vancouver,Lower Mainland,49.286385,-123.128566,,
