Hash,Start,End,Latitude,Longitude,,,Notes:,,
6db7795d78,5/1/16 0:00,,49.2403278413026,-123.102110107591,,,,,
ad9c74a6e9,9/1/06 0:00,,49.2783313157519,-123.13291941668,,,,,
c06febba90,9/1/06 0:00,,49.22194493528,-123.036709828681,,,,,
c78cbef5bc,9/1/06 0:00,,49.2502351679451,-123.048341694875,,,,,
be63423226,9/1/06 0:00,,,,,,,,
977d1dfb91,9/1/06 0:00,,49.2722255399178,-123.106374436959,,,,,
42712b8e4e,9/1/06 0:00,3/1/15 0:00,49.2659980514274,-123.067801460802,,,,,
8200d5cf90,10/1/06 0:00,,49.2584427666384,-123.147759380294,,,,,
a0ab88abbb,10/1/06 0:00,,49.2377337534335,-123.046920706812,,,,,
05018b8ce1,4/1/08 0:00,,49.2869072534116,-123.135582219904,,,,,
99af56cdb3,10/1/06 0:00,10/1/15 0:00,49.3476667486994,-124.432430476215,,,,,
e5a050d765,6/1/06 0:00,,49.28995320348,-123.125307867083,,,,,
80a45e6a70,6/1/06 0:00,,49.2690329832816,-123.145643637802,,,,,
5443ab62ca,5/1/06 0:00,,,,,,,,
4f384a17eb,5/1/06 0:00,,49.288653376972,-123.11908325038,,,,,
8cddb21083,5/1/06 0:00,,49.2814427708376,-123.097431410722,,,,,
99db8f7a4e,2/1/06 0:00,,,,,,,,
c2bf8f19b7,2/1/06 0:00,4/1/15 0:00,49.2817839995195,-123.06572769508,,,,,
ab2f652431,11/1/05 0:00,,49.2814381074741,-123.110268622031,,,,,
156a031593,8/1/05 0:00,,,,,,,,
81a93462dc,6/1/05 0:00,,43.6859965699656,-79.3670826403078,,,,,
63ed9c7f8b,6/1/05 0:00,,49.2751718007399,-122.909991107622,,,,,
1452704dd7,1/1/04 0:00,,,,,,,,
3925a62fe1,2/1/13 0:00,3/1/15 0:00,48.4238686936117,-123.359777014848,,,,,
ce7b9340c4,9/1/96 0:00,,49.2843193147973,-123.135592360256,,,,,
