"","Hash","Start","End","Latitude","Longitude","location_counter"
"25853","5eb8ce382b","5/1/17 0:00","",49.2726597677529,-122.949131970338,0
"25854","b996f36ccd","5/1/17 0:00","",49.2812255652803,-123.020376122382,4
"25855","277f5d5e3e","5/1/17 0:00","",49.287726175094,-123.134981957151,58
"25856","ffe0828e15","5/1/17 0:00","",49.267698964096,-123.071491025561,32
"25857","b402660760","5/1/17 0:00","",49.280029149541,-122.988920574464,1
"25858","4970d997ec","5/1/17 0:00","",44.6633139518135,-63.6178723572302,0
"25859","654efb618f","5/1/17 0:00","",48.4335993853659,-123.31912746852,3
"25860","0aad4b95d9","5/1/17 0:00","",48.4678757749569,-123.512819758827,0
"25861","90685e0843","5/1/17 0:00","",49.2755138065821,-123.129145006461,40
"25862","50136c325f","5/1/17 0:00","",49.2525631076026,-123.091898422948,14
"25863","70b2bf7e60","5/1/17 0:00","",49.3259775194002,-123.02964524408,0
"25864","5319364018","5/1/17 0:00","",49.2604156227354,-123.104533648048,33
"25865","23978d01fe","5/1/17 0:00","",49.2707356659828,-122.885403487771,0
"25866","8f00e29259","5/1/17 0:00","",49.3369301236987,-123.072528368153,3
"25867","d0aaa10630","5/1/17 0:00","",49.2794113220523,-123.051158967346,11
"25869","9a1f5983c0","5/1/17 0:00","6/1/17 0:00",49.2728783384436,-123.111958509999,31
"25870","b09ef00304","5/1/17 0:00","",49.2657617530066,-123.182477867619,12
"25872","89a1061607","5/1/17 0:00","",49.2670895052189,-123.118809606835,26
"25873","e85209939f","5/1/17 0:00","",49.2341573253425,-123.00955804112,4
"25874","e67eb3c1ca","5/1/17 0:00","",49.2513346403982,-122.900235141416,7
"25875","87f59ea381","5/1/17 0:00","",49.3761977028226,-123.27279159918,3
"25876","cb77bc1cc4","5/1/17 0:00","",49.2756495747696,-123.133584953978,37
"25877","b2606123ba","5/1/17 0:00","",49.2403931869564,-123.040531439428,6
"25878","a309843bea","5/1/17 0:00","",49.1282584379879,-122.804540855875,0
"25879","06d1e8415d","5/1/17 0:00","",49.2908048877639,-123.133682339027,50
"25880","25a035cdbd","5/1/17 0:00","6/1/17 0:00",51.1698589157516,-114.050443651677,0
"25881","0be422f470","5/1/17 0:00","6/1/17 0:00",49.2634767841083,-123.108613665996,37
"25882","48e3446a6a","5/1/17 0:00","",49.2837387885482,-123.1395016344,54
"25883","310ace3614","5/1/17 0:00","",48.4356017597951,-123.317978189709,2
"25885","b1bbf890b3","5/1/17 0:00","",48.4391989867881,-123.362292471532,3
